,index,ModifiedDateTime,FRP
326,4,2021-03-01,0.0
327,4,2021-04-01,12.3
328,4,2021-05-01,0.0
329,4,2021-06-01,0.0
330,4,2021-07-01,18.1
331,4,2021-08-01,0.0
332,4,2021-09-01,0.0
333,4,2021-10-01,10.063333333333334
334,4,2021-11-01,0.0
335,4,2021-12-01,7.06
336,5,2015-01-01,0.0
337,5,2015-02-01,0.0
338,5,2015-03-01,0.0
339,5,2015-04-01,0.0
340,5,2015-05-01,0.0
341,5,2015-06-01,0.0
342,5,2015-07-01,0.0
343,5,2015-08-01,0.0
344,5,2015-09-01,0.0
345,5,2015-10-01,0.0
346,5,2015-11-01,0.0
347,5,2015-12-01,0.0
348,5,2016-01-01,0.0
349,5,2016-02-01,0.0
350,5,2016-03-01,0.0
351,5,2016-04-01,0.0
352,5,2016-05-01,0.0
353,5,2016-06-01,0.0
354,5,2016-07-01,11.8
355,5,2016-08-01,0.0
356,5,2016-09-01,0.0
357,5,2016-10-01,0.0
358,5,2016-11-01,0.0
359,5,2016-12-01,0.0
360,5,2017-01-01,0.0
361,5,2017-02-01,0.0
362,5,2017-03-01,0.0
363,5,2017-04-01,0.0
364,5,2017-05-01,0.0
365,5,2017-06-01,0.0
366,5,2017-07-01,0.0
367,5,2017-08-01,0.0
368,5,2017-09-01,0.0
369,5,2017-10-01,0.0
370,5,2017-11-01,0.0
371,5,2017-12-01,0.0
372,5,2018-01-01,0.0
373,5,2018-02-01,0.0
374,5,2018-03-01,0.0
375,5,2018-04-01,0.0
376,5,2018-05-01,0.0
377,5,2018-06-01,22.0
378,5,2018-07-01,0.0
379,5,2018-08-01,0.0
380,5,2018-09-01,0.0
381,5,2018-10-01,0.0
382,5,2018-11-01,0.0
383,5,2018-12-01,0.0
384,5,2019-01-01,0.0
385,5,2019-02-01,0.0
386,5,2019-03-01,0.0
387,5,2019-04-01,0.0
388,5,2019-05-01,0.0
389,5,2019-06-01,0.0
390,5,2019-07-01,0.0
391,5,2019-08-01,0.0
392,5,2019-09-01,0.0
393,5,2019-10-01,0.0
394,5,2019-11-01,0.0
395,5,2019-12-01,0.0
396,5,2020-01-01,0.0
397,5,2020-02-01,0.0
398,5,2020-03-01,0.0
399,5,2020-04-01,0.0
400,5,2020-05-01,0.0
401,5,2020-06-01,0.0
402,5,2020-07-01,0.0
403,5,2020-08-01,0.0
404,5,2020-09-01,0.0
405,5,2020-10-01,0.0
406,5,2020-11-01,0.0
407,5,2020-12-01,0.0
408,5,2021-01-01,0.0
409,5,2021-02-01,0.0
410,5,2021-03-01,0.0
411,5,2021-04-01,0.0
412,5,2021-05-01,0.0
413,5,2021-06-01,0.0
414,5,2021-07-01,0.0
415,5,2021-08-01,0.0
416,5,2021-09-01,0.0
417,5,2021-10-01,0.0
418,5,2021-11-01,0.0
419,5,2021-12-01,0.0
420,7,2015-01-01,0.0
421,7,2015-02-01,0.0
422,7,2015-03-01,0.0
423,7,2015-04-01,0.0
424,7,2015-05-01,0.0
425,7,2015-06-01,0.0
426,7,2015-07-01,0.0
427,7,2015-08-01,0.0
428,7,2015-09-01,0.0
429,7,2015-10-01,0.0
430,7,2015-11-01,0.0
431,7,2015-12-01,0.0
432,7,2016-01-01,0.0
433,7,2016-02-01,0.0
434,7,2016-03-01,0.0
435,7,2016-04-01,0.0
436,7,2016-05-01,0.0
437,7,2016-06-01,0.0
438,7,2016-07-01,0.0
439,7,2016-08-01,0.0
440,7,2016-09-01,0.0
441,7,2016-10-01,0.0
442,7,2016-11-01,0.0
443,7,2016-12-01,0.0
444,7,2017-01-01,0.0
445,7,2017-02-01,0.0
446,7,2017-03-01,0.0
447,7,2017-04-01,0.0
448,7,2017-05-01,0.0
449,7,2017-06-01,0.0
450,7,2017-07-01,0.0
451,7,2017-08-01,0.0
452,7,2017-09-01,0.0
453,7,2017-10-01,0.0
454,7,2017-11-01,0.0
455,7,2017-12-01,0.0
456,7,2018-01-01,0.0
457,7,2018-02-01,0.0
458,7,2018-03-01,0.0
459,7,2018-04-01,0.0
460,7,2018-05-01,0.0
461,7,2018-06-01,0.0
462,7,2018-07-01,0.0
463,7,2018-08-01,0.0
464,7,2018-09-01,0.0
465,7,2018-10-01,0.0
466,7,2018-11-01,0.0
467,7,2018-12-01,0.0
468,7,2019-01-01,0.0
469,7,2019-02-01,0.0
470,7,2019-03-01,10.9
471,7,2019-04-01,0.0
472,7,2019-05-01,12.0
473,7,2019-06-01,0.0
474,7,2019-07-01,0.0
475,7,2019-08-01,0.0
476,7,2019-09-01,0.0
477,7,2019-10-01,0.0
478,7,2019-11-01,0.0
479,7,2019-12-01,0.0
480,7,2020-01-01,0.0
481,7,2020-02-01,0.0
482,7,2020-03-01,0.0
483,7,2020-04-01,0.0
484,7,2020-05-01,0.0
485,7,2020-06-01,6.8
486,7,2020-07-01,0.0
487,7,2020-08-01,0.0
488,7,2020-09-01,0.0
489,7,2020-10-01,0.0
490,7,2020-11-01,0.0
491,7,2020-12-01,0.0
492,7,2021-01-01,0.0
493,7,2021-02-01,0.0
494,7,2021-03-01,0.0
495,7,2021-04-01,0.0
496,7,2021-05-01,0.0
497,7,2021-06-01,0.0
498,7,2021-07-01,0.0
499,7,2021-08-01,0.0
500,7,2021-09-01,0.0
501,7,2021-10-01,0.0
502,7,2021-11-01,0.0
503,7,2021-12-01,0.0
504,8,2015-01-01,0.0
505,8,2015-02-01,0.0
506,8,2015-03-01,0.0
507,8,2015-04-01,0.0
508,8,2015-05-01,0.0
509,8,2015-06-01,0.0
510,8,2015-07-01,0.0
511,8,2015-08-01,0.0
512,8,2015-09-01,0.0
513,8,2015-10-01,0.0
514,8,2015-11-01,0.0
515,8,2015-12-01,0.0
516,8,2016-01-01,0.0
517,8,2016-02-01,0.0
518,8,2016-03-01,0.0
519,8,2016-04-01,0.0
520,8,2016-05-01,0.0
521,8,2016-06-01,0.0
522,8,2016-07-01,0.0
523,8,2016-08-01,0.0
524,8,2016-09-01,0.0
525,8,2016-10-01,0.0
526,8,2016-11-01,0.0
527,8,2016-12-01,0.0
528,8,2017-01-01,0.0
529,8,2017-02-01,0.0
530,8,2017-03-01,0.0
531,8,2017-04-01,0.0
532,8,2017-05-01,0.0
533,8,2017-06-01,0.0
534,8,2017-07-01,0.0
535,8,2017-08-01,0.0
536,8,2017-09-01,0.0
537,8,2017-10-01,0.0
538,8,2017-11-01,0.0
539,8,2017-12-01,0.0
540,8,2018-01-01,0.0
541,8,2018-02-01,0.0
542,8,2018-03-01,0.0
543,8,2018-04-01,0.0
544,8,2018-05-01,0.0
545,8,2018-06-01,0.0
546,8,2018-07-01,0.0
547,8,2018-08-01,0.0
548,8,2018-09-01,0.0
549,8,2018-10-01,0.0
550,8,2018-11-01,0.0
551,8,2018-12-01,0.0
552,8,2019-01-01,0.0
553,8,2019-02-01,0.0
554,8,2019-03-01,0.0
555,8,2019-04-01,0.0
556,8,2019-05-01,0.0
557,8,2019-06-01,0.0
558,8,2019-07-01,0.0
559,8,2019-08-01,0.0
560,8,2019-09-01,0.0
561,8,2019-10-01,0.0
562,8,2019-11-01,0.0
563,8,2019-12-01,0.0
564,8,2020-01-01,0.0
565,8,2020-02-01,8.6
566,8,2020-03-01,0.0
567,8,2020-04-01,0.0
568,8,2020-05-01,0.0
569,8,2020-06-01,0.0
570,8,2020-07-01,0.0
571,8,2020-08-01,0.0
572,8,2020-09-01,0.0
573,8,2020-10-01,0.0
574,8,2020-11-01,0.0
575,8,2020-12-01,0.0
576,8,2021-01-01,0.0
577,8,2021-02-01,0.0
578,8,2021-03-01,0.0
579,8,2021-04-01,0.0
