,Crops 2017,Crops 2018,Crops 2019,Crops 2020,Crops 2021
256,774687,820859,718811,737662,902675
257,1296124,1615003,1596307,1399325,1569636
258,45077,54117,48815,42511,43863
259,1351446,1386103,1374584,1401277,1444936
260,687279,697675,695458,638812,563430
261,872819,906981,899331,894933,902090
262,1284652,1209242,1509454,1371517,1331270
263,930373,916840,894454,935459,989777
264,1983765,1933799,2280020,1944677,2224181
265,3374,1293,2890,866,1256
266,1017533,1021340,1025512,1044679,1037317
267,1171619,1287873,1168405,1280022,1324442
268,881072,897860,968520,860215,916680
269,2211657,2243551,2241548,2164698,2221274
270,2030547,2011063,2028901,2002190,2005559
271,1106470,1114899,1101150,1084109,1087625
272,821785,1125207,1106406,925918,1020837
273,1718411,1792646,1769094,1746228,1763576
274,1213604,1252742,1200972,1239202,1325070
275,181283,121748,123163,74607,172362
276,1653215,1792967,1784191,1659956,1631104
277,1035944,1052608,1074021,1079249,1050953
278,1272485,1283954,1259458,1277940,1356070
279,923828,948677,936529,954263,921817
280,1270186,1281810,1274623,1216183,1212513
281,1842356,2048397,1878413,2050794,2111172
282,904743,908271,906033,898425,897057
283,2118282,2166446,2257796,2127193,2400869
284,1908228,1989180,1793529,1796911,1817855
285,2238025,2201214,2152872,2161477,2218550
286,2137202,2157976,2158280,2119140,2125383
287,1562377,1586750,1612027,1548687,1637572
288,1999398,1996177,1976875,1890631,1949076
289,373524,369768,364369,406209,422052
290,804220,804360,823068,793198,824442
291,1902268,1891958,1886574,1869547,1874491
292,1251888,1272587,1283301,1278619,1302511
293,3154161,3301975,3318565,3157758,3272327
294,2081341,2132609,2098394,2072079,2138524
295,1203924,1194945,1170579,1112914,1126397
296,65,216,47,288,105
297,1465510,1515055,1461592,1473354,1515021
298,831197,844783,907707,905406,919182
299,1059304,1066097,1063510,1024520,1098913
300,1895803,1885207,1872901,1862465,1857483
301,604636,647676,791974,673995,820630
302,212961,203334,198340,166513,161316
303,789179,833147,796276,754914,825812
304,1635153,1637280,1651779,1616015,1665412
305,1131364,1350834,1330131,1292844,1239063
306,1506600,1572544,1527368,1494655,1542052
307,1852106,1809491,1813498,1742549,1762334
308,673601,643798,681318,611366,658348
309,120,76,101,65,180
310,1454084,1485232,1454433,1439433,1500322
311,2213697,2216408,2224344,2143687,2160893
312,832812,879031,873053,841385,843988
313,1320055,1604445,1198967,1347178,1655850
314,1503525,1535059,1562873,1432857,1593713
315,1312640,1444304,1418823,1400244,1440603
316,871390,823053,863387,828786,891311
317,1005818,996034,1006264,912941,960581
318,1512131,1531135,1548242,1535087,1540636
319,12038,10434,14466,5253,7181
320,1030162,1144918,1131218,1178279,1234582
321,656634,664075,672315,653541,642895
322,1488330,1480034,1486059,1465980,1485453
