,MAE,RMSE,R2,Accuracy,Features
142,13.889817064164173,16.576970023281913,-2.083369097818005,67.93558579933938,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
143,14.037493260932097,16.754396959551617,-2.1497262730079205,67.56671726586075,"['Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
144,14.379401070325404,16.94082046592899,-2.2202092349808686,66.59831589726414,"['SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
145,10.786556355694117,13.809020441161499,-1.139641221392715,75.41196804545986,"['ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
146,11.385941490475467,14.514519645009736,-1.363853438401549,73.75686091014826,"['BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
147,11.426539945708567,14.55026701501034,-1.3755115026989073,73.64732340757614,"['AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
148,11.887378344567868,14.737956508127919,-1.4371920477876232,72.35901152211535,"['PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
149,12.4108229062717,15.392352665726877,-1.6584299541562766,72.07121335010785,"['time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
150,12.477215020625524,15.565037020543814,-1.7184135556207143,72.06974463799074,"['Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
151,12.523488528149693,15.572931070692603,-1.7211716261105758,71.94699848864732,"['Chromic Vertisols', 'Eutric Nitosols']"
152,12.521419659251935,15.578554999366286,-1.723137401006785,71.96068013911818,['Eutric Nitosols']
153,12.677663274831707,15.91393834864525,-1.8416497906038347,71.1892723616926,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
154,12.539324384026443,15.788467147899993,-1.7970172630236765,71.57356765895052,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
155,12.668688935802358,15.954087122763516,-1.8560060949363764,71.27325221341003,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
156,12.594448228037635,15.703849523076418,-1.767116611480604,71.22520142597988,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
157,12.509004090933239,15.722673729659585,-1.7737544736262332,71.52288188638288,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
158,12.284159134763918,15.44502928446419,-1.6766567614289603,72.06178378189482,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
159,14.040580409800942,16.729268162729266,-2.1402852317411853,67.56214781387604,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
160,14.017436618612718,16.68709245325779,-2.1244714129773885,67.58087673677915,"['Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
161,14.184547100231956,16.75161846878631,-2.1486816803883224,67.08183755927573,"['SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
162,10.471625939716775,13.490770340582005,-1.0421550354010876,76.01382275079735,"['ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
163,11.392661914540744,14.532406682787249,-1.3696832405868649,73.7761207412582,"['BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
164,11.460110121696351,14.592823099330902,-1.3894274402510574,73.59567225083356,"['AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
165,11.904909723998225,14.737856455308005,-1.4371589567537066,72.31818673743516,"['PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
166,12.416773932118394,15.396434063683744,-1.6598399464184346,72.05266102227745,"['time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
167,12.466124592303817,15.544363935386889,-1.7111972959380366,72.08380310492375,"['Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
168,12.512584445955074,15.558713989732295,-1.7162053859443307,71.97089874144581,"['Chromic Vertisols', 'Eutric Nitosols', 'Lithosols']"
169,12.512195438740036,15.564596743343559,-1.7182597701102114,71.97879144265823,"['Eutric Nitosols', 'Lithosols']"
170,12.519124173271223,15.571383875629849,-1.7206309476549198,71.96728363445537,['Lithosols']
171,12.514526165608252,15.694231314941588,-1.7637280725049571,71.54878500682014,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
172,12.480211163440483,15.664159639934402,-1.7531470752738274,71.66843305256012,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
173,12.58085537302318,15.791912091774396,-1.7982379792093055,71.43549192488081,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
174,12.401761887472466,15.454432584995688,-1.679916977949142,71.61305902854303,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
175,12.147157654451883,15.27056754160212,-1.616529091221306,72.2836867210138,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
176,12.088918469643579,15.20816329540712,-1.5951875278000762,72.38038769569485,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
177,13.747864614557018,16.385860938770612,-2.012685109465126,68.14036213959095,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
