,MAE,RMSE,R2,Features
72,62.01663930627226,95.82295500013403,-0.22762218529977463,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
73,63.08200416771859,96.87353600946683,-0.2546884896834827,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
74,60.51235642464258,92.07103831191885,-0.13336994278866565,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
75,60.4551436059002,88.41335033789888,-0.04510832037836443,"['Soybean', 'Cotton', 'Chillies']"
76,62.37693253040854,89.40889641675606,-0.06877694754036345,"['Cotton', 'Chillies']"
77,71.35523090712995,92.80109999566179,-0.15141493210935209,['Chillies']
78,61.7196831140426,94.10971729453647,-0.18411681076565767,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
79,62.48240987901458,95.53604184038048,-0.22028169679066578,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
80,62.62539498057927,95.91825520026852,-0.23006524953519047,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
81,62.55868390919193,96.14692661720454,-0.23593725070919902,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
82,62.641430277126524,96.08224030222266,-0.23427476736039532,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
83,62.82155743342139,96.24828397534435,-0.23854445551567438,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
84,61.599772549833176,95.08377021270947,-0.20875531527821867,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
85,62.6828253334476,96.24006917590755,-0.23833304478329187,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
86,60.12870571679721,91.30141601576263,-0.11450144402108053,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
87,60.27623257885492,88.26952676765221,-0.04171089335184908,"['Soybean', 'Cotton', 'Chillies', 'Turmeric']"
88,62.057737740884214,89.31089254668863,-0.06643519242281659,"['Cotton', 'Chillies', 'Turmeric']"
89,68.84114609932607,92.28632031345906,-0.13867626733535343,"['Chillies', 'Turmeric']"
90,67.62205471134962,90.03300548352406,-0.08374998684835289,['Turmeric']
91,60.17400137605072,91.81039512420125,-0.1269621292116634,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
92,62.550074148945285,94.82826165797478,-0.20226772319856035,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
93,62.86749093107411,95.40557829654811,-0.21695115119436692,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
94,63.355192143365706,95.93763251096557,-0.23056229285745822,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
95,63.70142629538815,96.21064629831366,-0.23757598481155706,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
96,63.829470583474155,96.36037633025578,-0.24143099440455207,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
97,64.35567793641214,96.88788155787799,-0.2550601190865045,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
98,69.00807079571288,101.59763345410315,-0.38004355433122305,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
99,69.6137581631707,102.23268837574501,-0.3973499124191484,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
100,70.07133935734186,102.58936918124786,-0.40711738211568527,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
101,69.97031995612105,102.46387800674769,-0.40367700980022714,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged']"
102,74.1766903308553,106.26859020275941,-0.5098557158003729,"['Chillies', 'Turmeric', 'SSM_lagged']"
103,75.02509792659406,106.83052930503754,-0.5258659069758254,"['Turmeric', 'SSM_lagged']"
104,76.57736531653619,108.71043260441938,-0.580039911037771,['SSM_lagged']
105,77.29541529098186,109.53989649985964,-0.6042434016084461,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
106,78.33240196300177,110.7493739481244,-0.6398652727919374,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
107,78.50748129063385,110.80877711808559,-0.6416249092942421,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
108,78.22843024823251,110.75710380121937,-0.640094192551317,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
109,78.46692420126384,111.06899711542182,-0.6493442476578,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
110,79.89072501691957,112.41321219468922,-0.689508281859315,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
111,79.76308633974918,112.48824459832318,-0.6917644254517186,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
112,82.81872368647157,115.83241915607316,-0.7938489160457107,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
113,82.12043666900585,115.70216717920866,-0.7898168669913792,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
114,81.54198016693901,115.27130603191624,-0.7765115554559348,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
115,82.38869253972767,116.06783659667485,-0.8011479514571263,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
116,85.09852994899022,118.11546127883427,-0.8652588528025498,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
117,85.4250207073034,118.45094050247441,-0.8758695593252845,"['Turmeric', 'SSM_lagged', 'ST_lagged']"
118,90.12971270209283,122.38722162171693,-1.002616364348631,"['SSM_lagged', 'ST_lagged']"
119,90.15252339277538,123.8075117611124,-1.0493663454144708,['ST_lagged']
120,77.41737512132589,109.88527723172896,-0.6143757511974657,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
