,MAE,Accuracy,Tree Depth,Number of Trees,Predictor,Features
2235,71.78284586948524,60.03739354564045,4,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2236,71.78355200748393,60.065238506771564,8,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2237,71.78363127646843,60.03026949465987,4,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2238,71.78577597853497,59.99258438695971,5,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2239,71.78768477739351,59.83649794887555,7,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2240,71.7889441839918,60.03338260532197,8,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2241,71.8019850500864,60.02434381346842,5,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2242,71.8079860134983,59.82412925711637,6,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2243,71.80819524444259,60.01300656072794,4,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2244,71.81047134118776,60.020389510105716,4,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2245,71.8158887592471,60.028316088565106,6,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2246,71.81864887140796,59.801704263870874,7,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2247,71.82647205257047,60.004572844577055,5,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2248,71.8296456990508,59.82392507628988,4,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2249,71.83420545034683,59.80163195969992,6,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2250,71.83555790772787,59.83016692835858,8,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2251,71.84107068167638,59.99145699958978,4,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2252,71.84164918708619,59.98358597728462,4,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2253,71.84250191359271,59.790105028828535,5,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2254,71.84432117000253,60.00041145461279,8,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2255,71.84548558467338,59.806595907158716,4,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2256,71.84858244695177,59.9824899865816,7,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2257,71.8500940341293,59.81229383897791,8,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2258,71.85120915421513,59.77620613510191,5,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2259,71.85712142486682,59.76980835779731,6,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2260,71.85913014014287,60.02600362514092,7,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2261,71.86032183507707,59.781742082259434,4,64,NO2,"['Maize', 'Soybean', 'Cotton']"
