,index,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
20,Dummugudem,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010923076923076924,0.02184615384615385,0.02184615384615385,0.02184615384615385,0.010923076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073846153846153844,0.014769230769230769,0.014769230769230769,0.014769230769230769,0.0073846153846153844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031923076923076926,0.006384615384615385,0.006384615384615385,0.006384615384615385,0.0031923076923076926,0.0,0.0,0.0,0.001769230769230769,0.003538461538461538,,
21,Julurupad,,,0.0,0.00938818565400844,0.022837552742616035,0.02689873417721519,0.02689873417721519,0.01751054852320675,0.004061181434599156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027953586497890294,0.005590717299578059,0.005590717299578059,0.005590717299578059,0.0027953586497890294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039029535864978904,0.007805907172995781,0.007805907172995781,0.007805907172995781,0.0039029535864978904,0.0,0.0,0.0,0.0,0.0,0.03438818565400843,0.06877637130801686,0.06877637130801686,0.06877637130801686,0.03438818565400843,0.0,0.0,0.0,0.0,0.0,,
22,Karakagudem,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020515695067264576,0.04103139013452915,0.04103139013452915,0.04103139013452915,0.020515695067264576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00616591928251121,0.01233183856502242,0.01233183856502242,0.01233183856502242,0.011715246636771301,0.01109865470852018,0.01109865470852018,0.01109865470852018,0.00554932735426009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006838565022421524,0.013677130044843049,0.013677130044843049,0.013677130044843049,0.014349775784753363,0.015022421524663678,0.015022421524663678,0.02275784753363229,,
23,Laxmidevipally,,,0.009429824561403509,0.009429824561403509,0.016282894736842104,0.018421052631578946,0.013706140350877192,0.013706140350877192,0.006853070175438596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009100877192982457,0.018201754385964913,0.018201754385964913,0.06255482456140352,0.09780701754385966,0.11776315789473685,0.1468201754385965,0.10762061403508773,0.06842105263157895,0.039364035087719296,0.01030701754385965,0.005153508771929825,0.0,0.0,0.0,0.0061403508771929825,0.012280701754385965,0.012280701754385965,0.012280701754385965,0.0061403508771929825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02417763157894737,0.04835526315789474,0.04835526315789474,0.04835526315789474,0.02417763157894737,0.0,0.0,0.0,0.0,0.014692982456140351,,
24,Manuguru,,,0.045402892561983474,0.02541322314049587,0.012706611570247935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009452479338842976,0.02262396694214876,0.04049586776859504,0.061053719008264465,0.058006198347107435,0.0484504132231405,0.03419421487603305,0.013636363636363637,0.007231404958677686,0.003615702479338843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043388429752066115,0.008677685950413223,0.008677685950413223,0.008677685950413223,0.020144628099173556,0.03161157024793389,0.03161157024793389,0.03161157024793389,0.015805785123966944,0.0,0.0,0.0,0.005268595041322314,0.010537190082644627,0.010537190082644627,0.010537190082644627,0.005268595041322314,0.0,0.0,0.0,0.0,0.0,,
25,Mulakalapally,,,0.07733009708737863,0.07109223300970874,0.05776699029126213,0.031286407766990286,0.005679611650485437,0.0025728155339805824,0.0012864077669902912,0.0,0.0016990291262135922,0.0033980582524271844,0.0057281553398058245,0.013252427184466018,0.01674757281553398,0.015048543689320387,0.012718446601941746,0.005194174757281553,0.0013106796116504856,0.0026213592233009712,0.0026213592233009712,0.0026213592233009712,0.004854368932038835,0.00849514563106796,0.02703883495145631,0.0441747572815534,0.04822815533980582,0.06077669902912621,0.05213592233009709,0.034999999999999996,0.027402912621359223,0.013228155339805824,0.009781553398058251,0.024393203883495144,0.055825242718446605,0.08895631067961166,0.12597087378640778,0.13832524271844662,0.11031553398058254,0.08145631067961166,0.046359223300970885,0.023592233009708738,0.020169902912621357,0.012572815533980583,0.02987864077669903,0.051359223300970876,0.051359223300970876,0.051359223300970876,0.0429126213592233,0.03446601941747573,0.03446601941747573,0.03446601941747573,0.017233009708737864,0.0,0.0,0.0,0.0,0.0012864077669902912,,
26,Palvancha,,,0.006057007125890736,0.007244655581947743,0.005403800475059383,0.0023752969121140144,0.0023752969121140144,0.0011876484560570072,0.0,0.0,0.0,0.0,0.0,0.01175771971496437,0.02351543942992874,0.02351543942992874,0.02351543942992874,0.01175771971496437,0.0,0.0,0.0,0.0032066508313539194,0.010035629453681711,0.018438242280285035,0.02820665083135392,0.029988123515439426,0.03070071258907363,0.0298396674584323,0.02007125890736342,0.019804038004750592,0.0169833729216152,0.009441805225653205,0.022387173396674585,0.03194774346793349,0.03034441805225653,0.037826603325415674,0.030581947743467935,0.01630047505938242,0.013182897862232779,0.005700712589073634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022268408551068884,0.01888361045130641,0.033313539192399044,0.03794536817102137,0.040350356294536815,0.02369358669833729,0.009263657957244655,0.004631828978622327,0.0,0.0,,
27,Pinapaka,,,0.060337552742616034,0.06993670886075949,0.044567510548523204,0.01919831223628692,0.00959915611814346,0.0,0.012078059071729957,0.024156118143459915,0.03333333333333333,0.06065400843881856,0.06671940928270041,0.07157172995780589,0.11197257383966244,0.11729957805907174,0.09915611814345993,0.08222573839662448,0.03264767932489452,0.0031118143459915614,0.037710970464135025,0.07241561181434598,0.07563291139240506,0.0725210970464135,0.037921940928270045,0.0032172995780590714,0.004377637130801688,0.008755274261603377,0.008755274261603377,0.008755274261603377,0.004377637130801688,0.0,0.02357594936708861,0.06598101265822784,0.10379746835443038,0.12278481012658227,0.09920886075949367,0.05680379746835443,0.038818565400843885,0.039662447257383965,0.039662447257383965,0.039662447257383965,0.019831223628691982,0.0,0.0026371308016877636,0.005274261603375527,0.007858649789029535,0.010443037974683544,0.014451476793248945,0.018459915611814346,0.015875527426160337,0.013291139240506329,0.013185654008438819,0.013080168776371309,0.013080168776371309,0.013080168776371309,0.07104430379746834,0.12900843881856539,,
28,Sujathanagar,,,0.07122641509433962,0.07122641509433962,0.07122641509433962,0.03561320754716981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019929245283018867,0.039858490566037734,0.039858490566037734,0.039858490566037734,0.019929245283018867,0.0,0.0,0.0,0.0820754716981132,0.1641509433962264,0.1641509433962264,0.1641509433962264,0.0820754716981132,0.0,0.0,0.0,0.0,0.01474056603773585,0.0294811320754717,0.0294811320754717,0.0294811320754717,0.01474056603773585,0.03349056603773585,0.0669811320754717,0.0669811320754717,0.0669811320754717,0.03349056603773585,0.0,0.0,0.0,0.0,0.0,0.0,0.01061320754716981,0.02122641509433962,0.02122641509433962,0.02122641509433962,0.01061320754716981,0.0,0.0,0.0,0.0,0.0,0.0,,
29,Tekulapalle,,,0.06902985074626865,0.03606076759061833,0.003091684434968017,0.0015458422174840084,0.003678038379530917,0.007356076759061834,0.007356076759061834,0.007356076759061834,0.003678038379530917,0.05069296375266525,0.11146055437100214,0.12153518123667378,0.12153518123667378,0.07084221748400854,0.010074626865671642,0.013379530916844351,0.026759061833688702,0.026759061833688702,0.026759061833688702,0.02348081023454158,0.020202558635394455,0.028571428571428567,0.03694029850746268,0.026839019189765456,0.016737739872068228,0.01401918976545842,0.011300639658848614,0.011300639658848614,0.011300639658848614,0.005650319829424307,0.0,0.0,0.0,0.004450959488272922,0.017137526652452027,0.028384861407249464,0.03139658848614072,0.026945628997867805,0.014259061833688698,0.003011727078891258,0.0,0.0,0.0,0.0,0.0,0.010047974413646056,0.02494669509594883,0.029797441364605545,0.029797441364605545,0.01974946695095949,0.004850746268656716,0.0,0.0,0.0,0.0023187633262260125,0.004637526652452025,,
30,Yellandu,,,0.3636210762331839,0.1899943946188341,0.03368834080717489,0.01900224215246637,0.016760089686098656,0.017684977578475335,0.019254484304932734,0.028251121076233184,0.041591928251121076,0.19299327354260087,0.3318105381165919,0.3591087443946188,0.3775784753363228,0.22236547085201794,0.07550448430493274,0.04276905829596413,0.01429372197309417,0.01429372197309417,0.01429372197309417,0.007146860986547085,0.0,0.017096412556053812,0.08046524663677129,0.1594730941704036,0.2071188340807175,0.2127242152466368,0.15714686098654712,0.08707959641255607,0.05190582959641255,0.03273542600896861,0.03542600896860986,0.03696748878923767,0.02710201793721973,0.029652466367713005,0.028279147982062783,0.023430493273542602,0.023682735426008968,0.020459641255605385,0.011350896860986549,0.010510089686098654,0.012443946188340807,0.009585201793721973,0.009585201793721973,0.004792600896860987,0.0,0.004876681614349776,0.06832959641255605,0.1296804932735426,0.13245515695067264,0.1305773542600897,0.07012331838565022,0.008772421524663676,0.009360986547085202,0.009725336322869956,0.006726457399103139,0.013565022421524664,,
