Date,place,fireCount
2017-09-24,Bhupalpalle,0.0
2017-09-25,Bhupalpalle,0.0
2017-09-26,Bhupalpalle,0.0
2017-09-27,Bhupalpalle,0.0
2017-09-28,Bhupalpalle,0.0
2017-09-29,Bhupalpalle,0.0
2017-09-30,Bhupalpalle,0.0
2017-10-01,Bhupalpalle,0.0
2017-10-02,Bhupalpalle,0.0
2017-10-03,Bhupalpalle,0.0
2017-10-04,Bhupalpalle,0.0
2017-10-05,Bhupalpalle,0.0
2017-10-06,Bhupalpalle,0.0
2017-10-07,Bhupalpalle,0.0
2017-10-08,Bhupalpalle,0.0
2017-10-09,Bhupalpalle,0.0
2017-10-10,Bhupalpalle,0.0
2017-10-11,Bhupalpalle,0.0
2017-10-12,Bhupalpalle,0.0
2017-10-13,Bhupalpalle,0.0
2017-10-14,Bhupalpalle,0.0
2017-10-15,Bhupalpalle,0.0
2017-10-16,Bhupalpalle,0.0
2017-10-17,Bhupalpalle,0.0
2017-10-18,Bhupalpalle,0.0
2017-10-19,Bhupalpalle,0.0
2017-10-20,Bhupalpalle,0.0
2017-10-21,Bhupalpalle,0.0
2017-10-22,Bhupalpalle,0.0
2017-10-23,Bhupalpalle,0.0
2017-10-24,Bhupalpalle,0.0
2017-10-25,Bhupalpalle,1.0
2017-10-26,Bhupalpalle,0.0
2017-10-27,Bhupalpalle,0.0
2017-10-28,Bhupalpalle,0.0
2017-10-29,Bhupalpalle,0.0
2017-10-30,Bhupalpalle,0.0
2017-10-31,Bhupalpalle,0.0
2017-11-01,Bhupalpalle,0.0
2017-11-02,Bhupalpalle,0.0
2017-11-03,Bhupalpalle,0.0
2017-11-04,Bhupalpalle,0.0
2017-11-05,Bhupalpalle,0.0
2017-11-06,Bhupalpalle,0.0
2017-11-07,Bhupalpalle,0.0
2017-11-08,Bhupalpalle,0.0
2017-11-09,Bhupalpalle,0.0
2017-11-10,Bhupalpalle,0.0
2017-11-11,Bhupalpalle,0.0
2017-11-12,Bhupalpalle,0.0
2017-11-13,Bhupalpalle,0.0
2017-11-14,Bhupalpalle,0.0
2017-11-15,Bhupalpalle,0.0
2017-11-16,Bhupalpalle,0.0
2017-11-17,Bhupalpalle,2.0
2017-11-18,Bhupalpalle,0.0
2017-11-19,Bhupalpalle,1.0
2017-11-20,Bhupalpalle,1.0
2017-11-21,Bhupalpalle,1.0
2017-11-22,Bhupalpalle,0.0
2017-11-23,Bhupalpalle,0.0
2017-11-24,Bhupalpalle,0.0
2017-11-25,Bhupalpalle,2.0
2017-11-26,Bhupalpalle,2.0
