Date,place,fireCount
2017-12-12,Jagtial,13.0
2017-12-13,Jagtial,4.0
2017-12-14,Jagtial,3.0
2017-12-15,Jagtial,0.0
2017-12-16,Jagtial,2.0
2017-12-17,Jagtial,6.0
2017-12-18,Jagtial,10.0
2017-12-19,Jagtial,5.0
2017-12-20,Jagtial,0.0
2017-12-21,Jagtial,2.0
2017-12-22,Jagtial,0.0
2017-12-23,Jagtial,3.0
2017-12-24,Jagtial,0.0
2017-12-25,Jagtial,0.0
2017-12-26,Jagtial,2.0
2017-12-27,Jagtial,4.0
2017-12-28,Jagtial,4.0
2017-12-29,Jagtial,1.0
2017-12-30,Jagtial,0.0
2017-12-31,Jagtial,0.0
2018-01-01,Jagtial,0.0
2018-01-02,Jagtial,0.0
2018-01-03,Jagtial,1.0
2018-01-04,Jagtial,0.0
2018-01-05,Jagtial,1.0
2018-01-06,Jagtial,0.0
2018-01-07,Jagtial,1.0
2018-01-08,Jagtial,0.0
2018-01-09,Jagtial,1.0
2018-01-10,Jagtial,0.0
2018-01-11,Jagtial,1.0
2018-01-12,Jagtial,0.0
2018-01-13,Jagtial,3.0
2018-01-14,Jagtial,0.0
2018-01-15,Jagtial,0.0
2018-01-16,Jagtial,0.0
2018-01-17,Jagtial,0.0
2018-01-18,Jagtial,0.0
2018-01-19,Jagtial,2.0
2018-01-20,Jagtial,0.0
2018-01-21,Jagtial,0.0
2018-01-22,Jagtial,0.0
2018-01-23,Jagtial,0.0
2018-01-24,Jagtial,0.0
2018-01-25,Jagtial,3.0
2018-01-26,Jagtial,0.0
2018-01-27,Jagtial,0.0
2018-01-28,Jagtial,0.0
2018-01-29,Jagtial,2.0
2018-01-30,Jagtial,1.0
2018-01-31,Jagtial,1.0
2018-02-01,Jagtial,2.0
2018-02-02,Jagtial,0.0
2018-02-03,Jagtial,2.0
2018-02-04,Jagtial,0.0
2018-02-05,Jagtial,0.0
2018-02-06,Jagtial,0.0
2018-02-07,Jagtial,0.0
2018-02-08,Jagtial,0.0
2018-02-09,Jagtial,0.0
2018-02-10,Jagtial,0.0
2018-02-11,Jagtial,0.0
2018-02-12,Jagtial,0.0
2018-02-13,Jagtial,1.0
2018-02-14,Jagtial,0.0
2018-02-15,Jagtial,0.0
2018-02-16,Jagtial,0.0
2018-02-17,Jagtial,1.0
2018-02-18,Jagtial,0.0
2018-02-19,Jagtial,0.0
2018-02-20,Jagtial,5.0
2018-02-21,Jagtial,1.0
2018-02-22,Jagtial,0.0
2018-02-23,Jagtial,0.0
2018-02-24,Jagtial,1.0
2018-02-25,Jagtial,2.0
2018-02-26,Jagtial,2.0
2018-02-27,Jagtial,1.0
2018-02-28,Jagtial,1.0
2018-03-01,Jagtial,3.0
2018-03-02,Jagtial,4.0
2018-03-03,Jagtial,3.0
2018-03-04,Jagtial,1.0
2018-03-05,Jagtial,1.0
2018-03-06,Jagtial,2.0
2018-03-07,Jagtial,1.0
2018-03-08,Jagtial,1.0
2018-03-09,Jagtial,1.0
2018-03-10,Jagtial,0.0
2018-03-11,Jagtial,0.0
2018-03-12,Jagtial,4.0
2018-03-13,Jagtial,1.0
2018-03-14,Jagtial,3.0
2018-03-15,Jagtial,0.0
2018-03-16,Jagtial,0.0
2018-03-17,Jagtial,0.0
2018-03-18,Jagtial,0.0
2018-03-19,Jagtial,0.0
2018-03-20,Jagtial,1.0
2018-03-21,Jagtial,0.0
2018-03-22,Jagtial,1.0
2018-03-23,Jagtial,0.0
2018-03-24,Jagtial,2.0
