,index,Dist_Name,Mandal_Nam,Year,Bengal Gram,Castor,Chillies,Cotton,Green Gram,Groundnut,Jowar,Maize,Onion,Paddy,Red Gram,Sesamum,Soyabean,Sugarcane,Sunflower,Kharif,Rabi
139,28,Yadadri Bhuvanagiri,Athmakur (M),2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
140,28,Yadadri Bhuvanagiri,Athmakur (M),2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
141,28,Yadadri Bhuvanagiri,Athmakur (M),2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
142,28,Yadadri Bhuvanagiri,Athmakur (M),2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
143,29,Wanaparthy,Atmakur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
144,29,Wanaparthy,Atmakur,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145,29,Wanaparthy,Atmakur,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
146,29,Wanaparthy,Atmakur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
147,29,Wanaparthy,Atmakur,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
148,30,Warangal_Rural,Atmakur,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
149,30,Warangal_Rural,Atmakur,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
150,30,Warangal_Rural,Atmakur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
151,30,Warangal_Rural,Atmakur,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
152,30,Warangal_Rural,Atmakur,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
153,31,Suryapet,Atmakur_S,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
154,31,Suryapet,Atmakur_S,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
155,31,Suryapet,Atmakur_S,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
156,31,Suryapet,Atmakur_S,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
157,31,Suryapet,Atmakur_S,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
158,31,Suryapet,Atmakur_S,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
159,32,Yadadri Bhuvanagiri,B.Pochampally,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
160,32,Yadadri Bhuvanagiri,B.Pochampally,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
161,32,Yadadri Bhuvanagiri,B.Pochampally,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
162,32,Yadadri Bhuvanagiri,B.Pochampally,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
163,32,Yadadri Bhuvanagiri,B.Pochampally,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
164,32,Yadadri Bhuvanagiri,B.Pochampally,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
165,33,Jangoan,Bachannapet,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
166,33,Jangoan,Bachannapet,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
167,33,Jangoan,Bachannapet,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
168,33,Jangoan,Bachannapet,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
169,33,Jangoan,Bachannapet,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170,36,Mahabubnagar,Balanagar,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
171,36,Mahabubnagar,Balanagar,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
172,36,Mahabubnagar,Balanagar,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
173,36,Mahabubnagar,Balanagar,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
174,36,Mahabubnagar,Balanagar,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
175,36,Mahabubnagar,Balanagar,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
176,38,Rangareddy,Balapur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
177,38,Rangareddy,Balapur,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
178,38,Rangareddy,Balapur,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
179,38,Rangareddy,Balapur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
180,38,Rangareddy,Balapur,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
181,38,Rangareddy,Balapur,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
182,39,Nizamabad,Balkonda,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183,39,Nizamabad,Balkonda,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
184,39,Nizamabad,Balkonda,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
185,39,Nizamabad,Balkonda,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
186,39,Nizamabad,Balkonda,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
187,39,Nizamabad,Balkonda,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
188,40,Nagarkurnool,Balmoor,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
189,40,Nagarkurnool,Balmoor,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
190,40,Nagarkurnool,Balmoor,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
191,40,Nagarkurnool,Balmoor,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192,40,Nagarkurnool,Balmoor,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
193,40,Nagarkurnool,Balmoor,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
194,42,Kamareddy,Banswada,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
195,42,Kamareddy,Banswada,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
196,42,Kamareddy,Banswada,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
197,42,Kamareddy,Banswada,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
198,42,Kamareddy,Banswada,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
199,42,Kamareddy,Banswada,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
200,43,Vikarabad,Bantwaram,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
201,43,Vikarabad,Bantwaram,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
202,43,Vikarabad,Bantwaram,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
203,43,Vikarabad,Bantwaram,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204,43,Vikarabad,Bantwaram,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
205,43,Vikarabad,Bantwaram,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,44,Nirmal,Basar,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
207,44,Nirmal,Basar,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
208,44,Nirmal,Basar,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
209,44,Nirmal,Basar,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
210,44,Nirmal,Basar,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
211,44,Nirmal,Basar,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,45,Vikarabad,Basheerabad,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
213,45,Vikarabad,Basheerabad,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
214,45,Vikarabad,Basheerabad,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
215,45,Vikarabad,Basheerabad,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
216,45,Vikarabad,Basheerabad,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
217,45,Vikarabad,Basheerabad,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
218,46,Mahabubabad,Bayyaram,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
219,46,Mahabubabad,Bayyaram,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
220,46,Mahabubabad,Bayyaram,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
221,46,Mahabubabad,Bayyaram,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
222,46,Mahabubabad,Bayyaram,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
223,46,Mahabubabad,Bayyaram,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
224,47,Adilabad,Bazarhathnoor,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
225,47,Adilabad,Bazarhathnoor,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
226,47,Adilabad,Bazarhathnoor,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
227,47,Adilabad,Bazarhathnoor,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,47,Adilabad,Bazarhathnoor,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,47,Adilabad,Bazarhathnoor,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,48,Jagtial,Beerpur,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
231,48,Jagtial,Beerpur,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
232,48,Jagtial,Beerpur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
233,48,Jagtial,Beerpur,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
