x,y,z
79.05345412,21.41389861,2.7879639
79.16827395,21.41389861,2.7879639
79.28309378,21.41389861,2.5469122
79.39791362,21.41389861,2.54
79.51273345,21.41389861,3.2652235
79.62755328,21.41389861,2.54
79.74237311,21.41389861,2.953764
79.85719294,21.41389861,2.953764
79.97201277,21.41389861,3.5644279
80.08683261,21.41389861,2.5899096
80.20165244,21.41389861,2.8350022
80.31647227,21.41389861,2.54
74.00138153,21.29907878,3.5940762
74.11620136,21.29907878,4.5727353
74.23102119,21.29907878,4.5727353
74.34584102,21.29907878,2.8435328
74.46066085,21.29907878,2.7841043
74.57548068,21.29907878,3.6076655
74.69030052,21.29907878,3.6223865
74.80512035,21.29907878,3.6223865
74.91994018,21.29907878,2.6902728
75.03476001,21.29907878,2.9677844
75.14957984,21.29907878,2.587041
75.26439967,21.29907878,2.8797517
75.37921951,21.29907878,2.4768176
75.49403934,21.29907878,2.4768176
75.60885917,21.29907878,4.1360607
75.723679,21.29907878,3.976119
75.83849883,21.29907878,3.8167162
75.95331866,21.29907878,2.4291077
76.0681385,21.29907878,2.4291077
76.75705749,21.29907878,2.382677
76.87187732,21.29907878,3.5080729
76.98669715,21.29907878,6.1969504
77.10151698,21.29907878,4.589807
77.21633681,21.29907878,4.413395
77.33115665,21.29907878,4.413395
77.44597648,21.29907878,2.8063254
77.56079631,21.29907878,2.5454254
77.67561614,21.29907878,2.577468
77.79043597,21.29907878,3.0034966
77.9052558,21.29907878,3.0034966
78.02007564,21.29907878,2.8683226
78.13489547,21.29907878,2.5657423
78.2497153,21.29907878,2.8519223
78.36453513,21.29907878,2.5684013
78.47935496,21.29907878,3.0658827
78.59417479,21.29907878,3.0658827
78.70899463,21.29907878,2.027381
78.82381446,21.29907878,2.54
78.93863429,21.29907878,2.5807872
79.05345412,21.29907878,3.2029548
79.16827395,21.29907878,3.2029548
79.28309378,21.29907878,2.915525
79.39791362,21.29907878,2.8930538
79.51273345,21.29907878,3.138927
79.62755328,21.29907878,2.69952
79.74237311,21.29907878,2.9371603
79.85719294,21.29907878,2.9371603
79.97201277,21.29907878,2.2898378
80.08683261,21.29907878,2.2963185
80.20165244,21.29907878,4.4141912
80.31647227,21.29907878,3.0364506
80.4312921,21.29907878,3.0364506
80.54611193,21.29907878,2.54
80.66093176,21.29907878,2.2613375
73.88656169,21.18425895,3.4486527
74.00138153,21.18425895,3.766672
74.11620136,21.18425895,5.243249
74.23102119,21.18425895,5.243249
74.34584102,21.18425895,3.1114504
74.46066085,21.18425895,2.8724017
74.57548068,21.18425895,2.6503944
74.69030052,21.18425895,3.1773925
74.80512035,21.18425895,3.1773925
74.91994018,21.18425895,2.5547843
75.03476001,21.18425895,3.071387
75.14957984,21.18425895,2.5426204
